pl_name,pl_bmasse,pl_rade,pl_eqt,st_teff,sy_dist
TOI-1860 b,2.27,1.31,1885.0,5752.0,45.864
TOI-2260 b,3.26,1.62,2609.0,5534.0,101.251
Kepler-1018 b,7.18,2.58,498.0,5518.0,1010.01
HD 69830 c,11.8,3.46,,5385.0,12.5591
HD 10647 b,298.75,13.8,,6218.0,17.3357
HD 219134 b,4.74,1.602,1015.0,4699.0,6.53127
TOI-2092 b,9.0,2.94892961,1042.0,5842.06,176.759
Proxima Cen b,1.055,1.02,218.0,2900.0,1.30119
HD 104067 c,13.2,3.69,,4952.0,20.3632
HATS-2 b,435.42491759,12.57647635,1550.0,5227.0,341.925
TOI-782 b,19.1,2.734,435.0,3370.0,52.5122
K2-250 b,7.81,2.71257333,1003.0,5003.0,414.708
Kepler-1852 b,4.22,1.88610592,760.0,5237.0,772.481
Kepler-881 b,3.82,1.78,1217.0,5961.0,1375.18
Kepler-1294 b,10.3,3.19,401.0,5776.0,1855.7
HD 153557 c,17.48056238,4.36,,4837.0,17.9412
Kepler-1255 b,5.99,2.32,694.0,6018.0,1617.07
M62H b,785.03616529,,,,
TOI-1136 d,8.35,4.627,843.0,5770.0,84.5362
Kepler-127 b,2.54,1.4,884.0,6106.0,352.794
Kepler-1736 b,14.3,3.8765856,566.0,6085.0,1430.0
GJ 9827 b,4.28,1.44,1035.01,4236.0,29.661
Kepler-532 b,7.13,2.57,620.0,5192.0,312.798
Kepler-1871 b,6.44,2.42172881,1403.0,5741.0,854.623
Kepler-1457 b,4.62,1.99,478.0,5866.0,889.885
Teegarden's Star b,1.16,1.05,277.0,3034.0,3.83078
Teegarden's Star c,1.05,1.02,209.0,3034.0,3.83078
TOI-1136 f,9.7,3.73591482,658.0,5770.0,84.5362
TOI-1448 b,19.5,2.749,426.0,3412.0,73.3345
TOI-2120 b,6.8,2.122,384.0,3131.0,32.1755
TOI-2337 b,508.5254512,10.08808263,1272.46,4780.0,536.046
TOI-4329 b,143.02278315,16.81347105,2027.12,6000.0,717.128
TOI-2445 b,2.1,1.25,1060.0,3333.0,48.582
HIP 109600 b,851.7844,13.2,,5530.0,66.3361
Kepler-1923 b,4.5,1.95958179,553.0,5881.0,990.838
Kepler-467 b,5.69,2.25,712.0,5809.0,466.265
Kepler-302 c,,12.45,392.0,5740.0,1402.58
Kepler-683 b,4.54,1.97,1332.0,5703.0,1023.07
Kepler-120 b,8.5,2.15,575.0,4096.0,388.63
TOI-5720 b,4.3,1.09,708.0,3325.0,35.8256
TOI-2447 b,124.90656395,9.60609646,414.0,5730.0,148.987
Kepler-1326 b,16.3,4.18,938.0,6725.0,698.326
Kepler-9 b,43.4,8.29,661.0,5774.0,628.257
Kepler-406 c,2.71,0.85,1050.0,5538.0,364.03
Kepler-315 b,13.7,3.77,409.0,5796.0,1160.63
Kepler-1078 b,4.27,1.9,1122.0,5612.0,2481.71
TOI-206 b,2.24,1.3,910.0,3383.0,47.7465
TOI-2669 b,193.87532827,19.72780603,1226.0,4800.0,393.443
Kepler-1038 b,12.2,3.53,285.0,5335.0,584.136
Kepler-1802 c,6.0,2.322,357.0,4245.0,636.694
TOI-4029 b,36.6,6.73756618,1142.0,5662.53,274.436
TOI-1136 b,3.5,1.9,1216.0,5770.0,84.5362
Kepler-1887 b,8.88,2.92454357,625.0,5749.0,1366.18
HAT-P-65 b,176.07693748,18.05766791,1818.0,5872.0,738.519
CI Tau c,1144.1822652,13.0,,3807.0,157.998
Kepler-1632 b,6.66,2.47,369.0,6137.0,716.76
Kepler-1306 b,4.31,1.91,678.0,5727.0,1107.5
Kepler-1925 b,9.28,3.00177922,531.0,5856.0,1771.31
LHS 1678 b,0.35,0.685,830.44,3490.0,19.8782
TOI-1273 b,70.55790635,11.09689089,1211.0,5690.0,177.118
TOI-1199 b,75.96098927,10.5140239,1486.0,5710.0,248.427
HD 220773 b,460.8,13.6,,5940.0,50.5103
Kepler-60 d,4.16,1.99,929.0,5905.0,1025.1
Kepler-1452 b,7.75,2.7,810.0,6101.0,996.32
TOI-4405 b,7.06,2.55505441,671.87,4467.38,155.501
Kepler-1686 b,2.62,1.42553017,913.0,5714.96,729.823
HD 130322 b,365.49,13.7,720.0,5387.0,31.8766
Kepler-1138 b,3.53,1.7,1080.0,5582.0,872.328
GJ 1214 b,8.41,2.733,567.0,3101.0,14.6427
TOI-4438 b,5.4,2.52,435.0,3422.0,30.0346
Kepler-584 b,16.5,4.21,664.0,6195.0,1848.84
Kepler-1961 b,3.25,1.6187808,866.0,5401.0,1042.45
Kepler-270 c,3.78,1.77,756.0,6067.0,948.781
TOI-757 b,10.5,2.5,641.0,5278.0,60.3418
Kepler-1157 b,1.32,1.09,732.0,4679.0,342.144
Kepler-1746 b,59.1,8.93504475,310.0,6018.0,979.541
K2-243 c,4.7,2.01,801.0,6570.0,266.864
Kepler-403 d,2.6,1.42,958.0,6209.0,840.269
TOI-2714 b,228.0,13.72,1603.0,5665.0,597.873
Kepler-378 b,0.347,0.75,503.0,4661.0,152.094
TOI-216.01,177.98390792,10.1,497.0,5026.0,177.945
HD 102272 b,1570.0802,12.9,,4790.0,347.097
GJ 2056 b,16.2,4.17,,4069.95,28.4434
Kepler-256 e,6.12,2.35,897.0,5551.0,1026.43
Kepler-1408 b,0.64,0.89,1616.0,6170.0,535.048
TOI-1408 c,7.6,2.22,1864.0,6117.0,139.484
TOI-1408 b,593.0,25.0,1293.0,6117.0,139.484
TOI-1437 b,9.6,2.24,794.23,6008.0,103.297
BD-13 2130 b,3108.3774,12.5,,4545.0,925.214
TOI-1751 b,19.5,2.9507845,651.64,5970.0,113.335
TOI-1694 b,31.3,5.3422266,943.19,5058.0,124.68
Kepler-826 b,2.1,1.25,1305.0,6079.0,779.596
HIP 67522 b,71.4,9.9872018,1175.0,5675.0,127.28
HIP 67522 c,48.3,7.93595834,917.0,5675.0,127.28
TOI-3261 b,30.3,3.82,1722.0,5068.0,300.141
Kepler-1929 b,9.65,3.07250761,566.0,5786.0,508.201
Kepler-1284 b,1.92,1.21,1703.0,5123.0,882.324
HIP 116454 b,9.7,2.469,753.2,5048.0,62.4491
TIC 46432937 b,1017.0509024,13.31626907,872.0,3572.0,90.5369
TOI-1807 b,2.44,1.49681583,1694.1,4914.0,42.5775
HD 77946 b,10.9,2.89646124,1128.86,6007.0,99.451
